Abbreviation,TwitterHandle
UTA,@utahjazz
TOR,@Raptors
CLE,@cavs
ORL,@OrlandoMagic
PHI,@Sixers
HOU,@HoustonRockets
MIN,@Timberwolves
NOP,@PelicansNBA
DAL,@DallasMavs
POR,@trailblazers
SAC,@SacramentoKings
DET,@DetroitPistons
IND,@Pacers
ATL,@ATLHawks
BKN,@BrooklynNets
CHA,@Hornets
CHI,@ChicagoBulls
OKC,@okcthunder
GSW,@Warriors
LAL,@Lakers
WAS,@WashWizards
BOS,@celtics
NYK,@NYKnicks
DEN,@nuggets
SAS,@spurs
MEM,@MemGrizz
MIA,@MiamiHEAT
LAC,@LAClippers
PHX,@Suns
MIL,@Bucks
